# Source: eCUT — electronic Corpus of Urartian Texts (ORACC), Urartian glossary
# URL: https://oracc.museum.upenn.edu/ecut/
# License: CC0 1.0 (Public Domain)
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
ʾah-	assemble	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ʾald-	put under	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ʾari	silo	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ʾaše	man	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
A.SI	soldier	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ab-	ask for	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
abilid-	add	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
absie	surely?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
absiei	surely?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
AB₂	cow	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
AD	father	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
AD.AD	grandfather	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
AD-usi	fatherly	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
adanusa	(a kind of stone)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
adinni	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
adiras-	be afraid of	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aduleṣi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
adunusi	(a building)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ae	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ag-	lead	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
agunu	fortified	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ahalini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ai	or	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aie	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ainei	another one	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aiše	anybody	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aišt-	jump	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
akaie	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
al-	say	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
alasašili	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
alaṣi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
alau	lord	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
Aldi	Urartian national god = Haldi	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aldini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
algani	mountain pass?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ali	who	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aliki	some	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
alsuini	great	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
alsuiše	greatness	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aluki	he who	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
alulani	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
alulatini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
alusi	lord	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
alzinai	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
am-	burn	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
amašt-	set on fire	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
amei	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
amerieši	(a category of men or workers)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
amudi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
andani	on the right side?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aniarduni	vigorous?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ANŠE.GIR₃.NUN.NA	mule	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
apti	side	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aqarqi	(measurement unit for liquids)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ar-	give	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
araphini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arayi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ard-	give	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arda	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ardini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ardiše	order	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arduni	offer	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
Argištihinili	name of a fortress built by Argišti_I, son of Minua	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arhi	(probably a human need like food, water or rest)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aribirid-	show up	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aributai	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ariše	delivery?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
armuzi	seed	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arni	favor?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arniuše	deed	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arniuši	deed	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arnu-	rebel?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arpaue	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arqauše	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
arudi	(a profession)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aruše	(a positive quality)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
asuahina	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
asuni	near	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aṣuli	(an official)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aṣuše	prosperity?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aš-	leave	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aš-	set out	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašazie	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašd-	incorporate?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aše	shield	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aše	when	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašg-	defeat	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašh-	offer	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašhašt-	sacrifice	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašihusi	banquet hall?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aškaṭini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašt-	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aštiuzi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašul-	withdraw	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašul-	withdraw?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ašzie	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
at-	devastate	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
at-	eat	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
atara	also?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ate	father	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ath-	dig	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
atibi	ten thousand?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
atqana	sacrifice	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
atqanad-	offer	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aṭ-	deposit?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
auaraši	(auraši man, a certain type of soldier?)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
audi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
aueiṭini	(a kind of troop?)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
auie	anywhere?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
azibi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
babani	mountain	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
badgul-	occupy?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
badi	frontier	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
badusi	perfection	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
BAN	bow	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
barzani	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
barzidibduni	(a building)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
barzudibdu	(a kind of sacrifice?)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
batq-	re-establish?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
bauše	word	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
bedi	part	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
bedini	on behalf of	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
bid-	return?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
biduiaše	return	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
bura	servant	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
burašt-	subjugate	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
burgala	enemy	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
burganani	pen?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
da	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
daši	light?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
dašusi	candelabrum	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
didguši	fat?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
diri	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
diruši	(a hypostasis of the god Haldi or a deified attribute)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
du-	do	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
dudie	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
DUMU	son	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
