# Source: eDiAna Digital Philological-Etymological Dictionary of the Minor Ancient Anatolian Corpus Languages (Lydian)
# URL: https://www.ediana.gwi.uni-muenchen.de/
# License: CC BY-SA 4.0
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
†maddun-	Maeonian	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pakill(i)-	of Bacchus	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
suλo-	son (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
išl(i)-	beginning (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
katof(i)-	attempt (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*sakn-	excrement	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
qrifri-(t)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
trišm(i)-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šarẽta-	patron	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šaroka-	patronage	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
išt	with respect to	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
τeλmda-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
cuwell(i)-	(month name)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kipτa-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
eλf	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
fẽntašẽn(i)-	(a group of people)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
karda-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wsta-	expense (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wicν	for (vel sim.)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
iško-	all, every	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kaτfλad(i)-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wastνun-	(type of transfer)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šikimλa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kimλa-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kim	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šawls	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kat	down	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
cidaλmda-	(a title)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
anlola-/antola-	burial complex, memorial (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
lawa-(d)	to show reverence, respect (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
qištori-	to hand over with care (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
laduwa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tinV-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
fatinẽd	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tamra-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
isq(i)-	(a deity) (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
taqaλa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pišta-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
padafuni-	to inherit (vel sim.)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ada-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ẽtamνi-	to decree	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ẽtam(i)-	ordinance, decree	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
parito-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
astrkota-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
nak	(clause-initial particle)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
asfãν	in good faith (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ašνo-(d)	to make good (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
cuλdalẽn(i)-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
τaλa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
τaλala-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*wr-	to speak	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wrato/u-	(a priestly office) (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
armird	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*sfar-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
lo-(d)	to honor (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
anãtl(i)-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
arsmawa-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
faτa- (or faša-)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
asa-	seat, throne (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pλašo-	dromos (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
uwe-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tafa-	(cult official)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tawsa-	great	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
etla-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
aτλe-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
cfisa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ištaminl(i)-	family (member)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ištamin-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šupat(i)-	(a sacrifical animal) (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
qrata-(d)	to execute, proceed	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kukok	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
os-	to buy (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
laqriša-	woodwork (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
eša-	to maintain (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kikorši-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šodqλτa-(d)	to act as a šodqλτa-	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ẽnτawλo-	soul of the deceased (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
cawλo-	soul of the deceased (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
=mas	as much (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
išmẽn-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
atνa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
aλtoka-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
afaλa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*walwe-	lion (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
u-(d)	to write	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
