# Source: IDS — Intercontinental Dictionary Series, Elamite (contribution 216)
# URL: https://ids.clld.org/contributions/216
# License: CC BY 4.0
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
muru-; mu-ru-it; mu-ru-un	earth=ground, soil	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
su-uk-ma	dust	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
am-ni	mountain, hill	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šà-ri-ut	shore	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
du-ráš	cave	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
zul; zu-ul	water	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kam	sea	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
zu-ul.la-li	spring, well	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
husa; hu-sa; hu-sa-a	tree (cf 08.600)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hu-h-qat; hu-uk; ma-lu	wood	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
har; ú-h-um-ma	stone, rock	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
na-h-hu-un-te; na-hi-ti; na-hu-te	sun	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
na-ap-ir; na-pir	moon	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
mar-du	star	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
luk; lu-uk	lightning	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ma-an-za-at	rainbow	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hun; hu-un; hu-ni-in	light (noun)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šad-da-ku	shade, shadow	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
si-me-in	air	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
te-ip	rain (noun)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
lim; li-im	fire	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
lim-; lum-; li-im-ma-áš-pi; li-im-ma-ak; lu-mu-un-ra	burn (vb intrans)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
bali; ba-li-be; ru-h; ru-ú	man (vs. woman)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ba-li-na	male	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
mu-h-ti-ir-ri; mu-h-ti-be; mu-tur	female	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pu-hu	young man (adolescent)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pu-h	young woman (adolescent)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pu-hi-e; ma-ul; ma-ul-li	child	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
zin; zí-in	infant, baby	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ir-ti-ri; ri-tu; ri-ti; ru-tu; ru-tú; mu-tar; mu-ti	wife	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
atta; ad-da; at-ta	father	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
amma; am-ma	mother	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pu-hu; ru-hu; šak; ša-ak; šá-ak; šá-ag-gi	son	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pak; pa-ak	daughter	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
puhu; pu-hu	offspring (son or daughter)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
i-gi	brother	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šutu; šu-tú	sister	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ru-hu.šá-ak-ri	grandson	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
eri; e-ri-ri	uncle	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
iza; i-za	cousin	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
iš-ti-ri	son-in-law (of a woman)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
a-a-ni-ip; a-a-ni-ri	relatives, kinsmen	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
u; ù	I	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ni; nu	you (singular)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ni-ka; nu-ku	we (exclusive)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
nu-mi	you (plural)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kun; ku-un	animal	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
áš; ki-ti	livestock	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ahiš; a-h-iš; ki-bat	pasture	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ba-at -ir; ku-dúr	herdsman	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kutu; ku-tu	cattle (bovine)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pu-up-hi-in	ox	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
tila; ti-la	calf	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hidu; hi-du	sheep	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ráp-du; ráp-tam	ram	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kari; qa-ri; qa-ri-ri	lamb	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pap-pi	pig	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kipšu; kupši; ki-ip-ši; ki-ip-šu; ku-ip-šu; šá-h-ši-ik-me-me	goat	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kumaš; ku-maš	he-goat	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
