chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	mode_word	word_ipa_len	stability	mode_count	total_extensions	gloss	all_words_json
a-da-da	a-da-da	a-da-da-u-ti-nu	6	peo	Old Persian	nava	4	1.0000	6	6		"[""nava"", ""nava"", ""nava"", ""nava"", ""nava"", ""nava""]"
da-da-u	da-da-u	da-da-u-ti-nu-i	6	peo	Old Persian	nava	4	1.0000	6	6		"[""nava"", ""nava"", ""nava"", ""nava"", ""nava"", ""nava""]"
re-i-ke	re-i-ke	re-i-ke-ta-na-i	6	peo	Old Persian	kuuʃa	5	1.0000	6	6		"[""kuu\u0283a"", ""kuu\u0283a"", ""kuu\u0283a"", ""kuu\u0283a"", ""kuu\u0283a"", ""kuu\u0283a""]"
a-da-u-ti	a-da-u-ti	a-da-u-ti-nu-i-n	5	peo	Old Persian	avadaː	6	1.0000	5	5		"[""avada\u02d0"", ""avada\u02d0"", ""avada\u02d0"", ""avada\u02d0"", ""avada\u02d0""]"
e-i-ke-ta	e-i-ke-ta	e-i-ke-ta-na-i-*301	5	peo	Old Persian	kuuʃa	5	1.0000	5	5		"[""kuu\u0283a"", ""kuu\u0283a"", ""kuu\u0283a"", ""kuu\u0283a"", ""kuu\u0283a""]"
e-u-na-ru	e-u-na-ru	e-u-na-ru-ka-na	5	peo	Old Persian	kaufaʰ	6	1.0000	5	5	mountain	"[""kaufa\u02b0"", ""kaufa\u02b0"", ""kaufa\u02b0"", ""kaufa\u02b0"", ""kaufa\u02b0""]"
*56-e-tu-me	*56-e-tu-me	*56-e-tu-me-i-ja-s	5	peo	Old Persian	paːdaʰ	6	1.0000	5	5		"[""pa\u02d0da\u02b0"", ""pa\u02d0da\u02b0"", ""pa\u02d0da\u02b0"", ""pa\u02d0da\u02b0"", ""pa\u02d0da\u02b0""]"
a-ja-i-nwa	a-ja-i-nwa	a-ja-i-nwa-za-*56	4	peo	Old Persian	aθaⁿɡaʰ	7	1.0000	4	4		"[""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0""]"
i-ja-sa	i-ja-sa	i-ja-sa-u-na-ka	9	peo	Old Persian	aθaⁿɡaʰ	7	0.8889	8	9		"[""a\u03b8aga"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0""]"
me-i-ja	me-i-ja	me-i-ja-sa-u-na	8	peo	Old Persian	ɡaiθaː	6	0.8750	7	8		"[""da\u03b8a"", ""\u0261ai\u03b8a\u02d0"", ""\u0261ai\u03b8a\u02d0"", ""\u0261ai\u03b8a\u02d0"", ""\u0261ai\u03b8a\u02d0"", ""\u0261ai\u03b8a\u02d0"", ""\u0261ai\u03b8a\u02d0"", ""\u0261ai\u03b8a\u02d0""]"
