chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	stability	mode_word	mode_count	total_extensions	gloss	all_words_json
a-i-*301-wa	a-i-*301-wa	a-i-*301-wa-e-a-di-k	26	xcr	Eteocretan	1.0000	γίσσα	26	26		"[""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
wa-ja-ja	wa-ja-ja	wa-ja-ja-sa-sa	16	xcr	Eteocretan	1.0000	γίσσα	16	16		"[""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
ta-i-*301-wa	ta-i-*301-wa	ta-i-*301-wa-ja-a-j	16	xcr	Eteocretan	1.0000	γίσσα	16	16		"[""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
a-di-ki	a-di-ki	a-di-ki-tu-ja-s	13	xle	Eteocypriot	1.0000	rom	13	13	meaning uncertain	"[""rom"", ""rom"", ""rom"", ""rom"", ""rom"", ""rom"", ""rom"", ""rom"", ""rom"", ""rom"", ""rom"", ""rom"", ""rom""]"
i-na-ma	i-na-ma	i-na-ma-si-ru-t	11	xcr	Eteocretan	1.0000	γίσσα	11	11		"[""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
ta-na-i	ta-na-i	ta-na-i-*301-u-ti-nu	11	cms	Messapic	1.0000	ai	11	11	conjunction (hypothetical)	"[""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai""]"
a-na-i-*301	a-na-i-*301	a-na-i-*301-u-ti-nu	11	cms	Messapic	1.0000	ai	11	11	conjunction (hypothetical)	"[""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""ai""]"
i-ki-te	i-ki-te	i-ki-te-te-re-p	10	ine-pro	Proto-Indo-European	1.0000	oː	10	10		"[""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""o\u02d0""]"
i-ki-te	i-ki-te	i-ki-te-te-re-p	10	uga	Ugaritic	1.0000	ʕsˤ	10	10		"[""\u0295s\u02e4"", ""\u0295s\u02e4"", ""\u0295s\u02e4"", ""\u0295s\u02e4"", ""\u0295s\u02e4"", ""\u0295s\u02e4"", ""\u0295s\u02e4"", ""\u0295s\u02e4"", ""\u0295s\u02e4"", ""\u0295s\u02e4""]"
sa-sa-ra	sa-sa-ra	sa-sa-ra-me-u-n	10	phn	Phoenician	1.0000	taħat	10	10		"[""ta\u0127at"", ""ta\u0127at"", ""ta\u0127at"", ""ta\u0127at"", ""ta\u0127at"", ""ta\u0127at"", ""ta\u0127at"", ""ta\u0127at"", ""ta\u0127at"", ""ta\u0127at""]"
